iter	RMSE
915	305243.6497
916	305200.6293
917	305130.0777
918	305054.3604
919	304970.9003
920	304891.8896
921	304865.5617
922	304857.4658
923	304831.5062
924	304784.8128
925	304763.0276
926	304738.9307
927	304706.2275
928	304652.6847
929	304544.1748
930	304496.8967
931	304470.9609
932	304400.7987
933	304339.702
934	304237.3415
935	304182.9948
936	304152.7839
937	304133.4537
938	304093.6732
939	304056.1667
940	303982.7713
941	303946.8319
942	303916.0442
943	303880.097
944	303852.8651
945	303829.5161
946	303762.7612
947	303740.9917
948	303712.1871
949	303691.4114
950	303655.9936
951	303597.3548
952	303572.8894
953	303534.1884
954	303452.8286
955	303371.9226
956	303335.412
957	303289.2001
958	303203.3139
959	303166.6723
960	303139.3144
961	303072.1046
962	303023.1211
963	302997.2338
964	302915.9769
965	302815.579
966	302757.5009
967	302729.4127
968	302661.6656
969	302631.6599
970	302596.1288
971	302552.9824
972	302488.4882
973	302445.5801
974	302345.999
975	302306.0533
976	302257.5752
977	302221.8721
978	302120.2773
979	302037.7046
980	302015.8163
981	301989.3515
982	301965.0727
983	301872.1085
984	301820.9172
985	301792.8298
986	301771.888
987	301569.5784
988	301538.4423
989	301473.6947
990	301444.6981
991	301409.9223
992	301392.0871
993	301350.5523
994	301299.7845
995	301258.411
996	301225.0916
997	301182.7758
998	301135.1811
999	301086.838
